text,label,type,topic
"Subject: Urgent: Salary Update Required!

Dear Employee,

We've detected an issue with your current salary information. To avoid any disruption in your upcoming payment, you *must* update your details immediatly. Failure to do so will result in a delay of your next pay cycle.

Please click on the link below to verify and update your information NOW:
`[SECURE PORTAL LOGIN]`

This is a critical alert from our HR Department. Do not share this information with anyone.

Sincerely,
HR Support Team",1,email,HR salary update
"Subject: Annual Salary Review Process - Information

Dear Team,

This email serves to inform you about the upcoming annual salary review process for the fiscal year 2024-2025. HR will be conducting individual reviews based on performance assessments and market benchmarks.

Further details regarding the timeline and specific steps will be communicated by your respective line managers in the coming weeks. We anticipate this process to conclude by the end of Q3.

Should you have any immediate questions, please contact your HR Business Partner directly or visit the internal HR Portal at `https://hr.ourcompany.com/portal`.

Best regards,
The HR Department",0,email,HR salary update
Urgent! Your salery payment is on hold. Update details NOW to prevent delay. Click: `bit.ly/payslip-fix`,1,sms,HR salary update
Reminder: HR-led session on new benefits package today at 10 AM in Conference Room A. See you there!,0,sms,HR salary update
"Subject: Important: Your Salary Account Has Been Suspended!

Dear Valued Staff,

Your recent salary payment transfer was unsuccessful. To reactive your account and recieve your funds, you need to varify your banking details through our new secure system.

This process must be completed within 24 hours to avoid permanent account deactivation.

Proceed to update: `[Verify Your Account Here]`

Thank you for your prompt cooperations,
Payroll Department.",1,email,HR salary update
"Subject: Payslip Availability - June 2024

Dear Colleagues,

Your payslips for the month of June 2024 are now available on the Employee Self-Service Portal.

You can access your payslip by logging in securely at `https://ess.yourcompany.com` using your standard company credentials.

If you encounter any issues or have questions regarding your payslip, please reach out to the Payroll team at `payroll@yourcompany.com`.

Thank you,
Payroll Team",0,email,HR salary update
Last chance to claim your salary bonus. Expired soon! Act fast! `bit.ly/bonus-claim`,1,sms,HR salary update
Your performance review feedback session with HR is scheduled for July 15th at 2 PM. An outlook invite has been sent.,0,sms,HR salary update
"Subject: Action Reqired: Payroll System Migration

Hello employee,

Due to a important system migratin, all employees must re-enter their payroll information to insure correct salary processing. This is a manditory step.

Click the following link to begin the update: `[Update Your Payroll Info Here]`

Failure to comply by EOD will result in pay hold.

Regards,
Admin Dept",1,email,HR salary update
"Subject: Upcoming Changes to Pension Contributions

Dear Employees,

We are writing to inform you about some upcoming minor adjustments to the company's pension contribution scheme, effective from September 1st. These changes are designed to optimize long-term benefits for our workforce.

A detailed summary of these adjustments, along with a Q&A document, will be published on the HR intranet portal next week. We will also host an informational webinar on August 15th.

For any preliminary questions, please refer to the HR Benefits section on the internal portal or contact `benefits@yourcompany.com`.

Sincerely,
HR Benefits Team",0,email,HR salary update
Your salary increase has been approved! Confirm details to finalize. Tap here: `tinyurl.com/raise-confirm`,1,sms,HR salary update
HR Portal maintenance scheduled for tonight 10 PM - 2 AM UTC. Payslip access may be briefly interrupted.,0,sms,HR salary update
